Date,N_Flights_OS,N_Flights_EURO,,EUROCONTROL Data copyright EUROCONTROL 2021
01/01/2019,32275,20533,,
02/01/2019,36440,26576,,
03/01/2019,37565,26984,,
04/01/2019,37358,27482,,
05/01/2019,32833,23579,,
06/01/2019,33625,26207,,
07/01/2019,34407,27059,,
08/01/2019,33325,24950,,
09/01/2019,33577,25940,,
10/01/2019,34277,26233,,
11/01/2019,33939,27041,,
12/01/2019,30511,21855,,
13/01/2019,30059,24567,,
14/01/2019,32294,26613,,
15/01/2019,30633,24425,,
16/01/2019,30936,25830,,
17/01/2019,31734,26584,,
18/01/2019,32592,28343,,
19/01/2019,28849,21730,,
20/01/2019,31901,24900,,
21/01/2019,36454,27115,,
22/01/2019,34828,24947,,
23/01/2019,35666,25461,,
24/01/2019,36782,26634,,
25/01/2019,38951,27837,,
26/01/2019,34511,21517,,
27/01/2019,36058,24682,,
28/01/2019,36808,26585,,
29/01/2019,35722,25064,,
30/01/2019,35208,25583,,
31/01/2019,36185,26760,,
01/02/2019,38787,27657,,
02/02/2019,35383,21948,,
03/02/2019,36238,24354,,
04/02/2019,37394,26772,,
05/02/2019,35631,25314,,
06/02/2019,34331,26262,,
07/02/2019,36805,27337,,
08/02/2019,38999,28475,,
09/02/2019,33885,22373,,
10/02/2019,36177,24974,,
11/02/2019,38272,27169,,
12/02/2019,34587,25840,,
13/02/2019,36038,25949,,
14/02/2019,37609,27893,,
15/02/2019,39198,29486,,
16/02/2019,35480,23732,,
17/02/2019,36570,26050,,
18/02/2019,37908,27464,,
19/02/2019,36810,26141,,
20/02/2019,34725,26579,,
21/02/2019,32961,28046,,
22/02/2019,34721,29026,,
23/02/2019,31175,23790,,
24/02/2019,33709,26559,,
25/02/2019,34944,28033,,
26/02/2019,32902,26603,,
27/02/2019,34632,27340,,
28/02/2019,38431,28416,,
01/03/2019,39550,29227,,
02/03/2019,35534,23761,,
03/03/2019,36532,26070,,
04/03/2019,37791,27692,,
05/03/2019,37559,26802,,
06/03/2019,38589,27635,,
07/03/2019,39424,28423,,
08/03/2019,40293,29500,,
09/03/2019,35767,23475,,
10/03/2019,37192,26058,,
11/03/2019,35604,28493,,
12/03/2019,33816,27086,,
13/03/2019,33478,27226,,
14/03/2019,33688,28461,,
15/03/2019,35672,29842,,
16/03/2019,32212,23630,,
17/03/2019,34857,26304,,
18/03/2019,35807,28732,,
19/03/2019,34067,27061,,
20/03/2019,34203,28201,,
21/03/2019,34979,29017,,
22/03/2019,35546,30253,,
23/03/2019,32496,23622,,
24/03/2019,34498,26611,,
25/03/2019,35637,28379,,
26/03/2019,34715,27525,,
27/03/2019,35878,28189,,
28/03/2019,36611,29099,,
29/03/2019,37667,30214,,
30/03/2019,34357,23861,,
31/03/2019,37187,27825,,
01/04/2019,38997,30909,,
02/04/2019,37522,30153,,
03/04/2019,39955,30781,,
04/04/2019,41306,31278,,
05/04/2019,38374,32005,,
06/04/2019,34205,26101,,
07/04/2019,36783,28418,,
08/04/2019,38849,30654,,
09/04/2019,37118,30200,,
10/04/2019,38412,31189,,
11/04/2019,38923,31940,,
12/04/2019,39503,32979,,
13/04/2019,36027,27576,,
14/04/2019,36570,29159,,
15/04/2019,38742,30856,,
16/04/2019,38090,30280,,
17/04/2019,38634,31277,,
18/04/2019,39124,32022,,
19/04/2019,39126,29915,,
20/04/2019,35885,26916,,
21/04/2019,36623,28011,,
22/04/2019,38968,29792,,
23/04/2019,38404,31081,,
24/04/2019,37285,31298,,
25/04/2019,38639,32072,,
26/04/2019,39153,32074,,
27/04/2019,36662,27894,,
28/04/2019,37516,29688,,
29/04/2019,39396,31289,,
30/04/2019,37212,30892,,
01/05/2019,37978,29483,,
02/05/2019,38524,31895,,
03/05/2019,39998,33049,,
04/05/2019,36719,28388,,
05/05/2019,38344,30637,,
06/05/2019,40359,32162,,
07/05/2019,38773,32114,,
08/05/2019,38300,31673,,
09/05/2019,39255,31093,,
10/05/2019,40354,33920,,
11/05/2019,37095,28543,,
12/05/2019,38288,30798,,
13/05/2019,39345,32672,,
14/05/2019,38850,31607,,
15/05/2019,39223,32149,,
16/05/2019,39759,32869,,
17/05/2019,39478,32941,,
18/05/2019,36071,28531,,
19/05/2019,37940,30541,,
20/05/2019,40288,32723,,
21/05/2019,38053,31236,,
22/05/2019,39509,32824,,
23/05/2019,41232,33828,,
24/05/2019,42230,34714,,
25/05/2019,37319,29543,,
26/05/2019,37926,31414,,
27/05/2019,38952,33400,,
28/05/2019,39624,32789,,
29/05/2019,39693,34110,,
30/05/2019,41435,32165,,
31/05/2019,39014,33084,,
01/06/2019,36998,30681,,
02/06/2019,40249,33984,,
03/06/2019,41088,34638,,
04/06/2019,41681,34090,,
05/06/2019,41674,34765,,
06/06/2019,41383,34931,,
07/06/2019,38432,36170,,
08/06/2019,39361,31415,,
09/06/2019,39484,32390,,
10/06/2019,40901,34326,,
11/06/2019,42770,34891,,
12/06/2019,42821,35272,,
13/06/2019,42392,36365,,
14/06/2019,43264,36801,,
15/06/2019,38737,31848,,
16/06/2019,40627,33889,,
17/06/2019,41630,35904,,
18/06/2019,41729,35201,,
19/06/2019,42158,35654,,
20/06/2019,41993,35818,,
21/06/2019,43224,36131,,
22/06/2019,38959,31789,,
23/06/2019,40846,34080,,
24/06/2019,42866,35817,,
25/06/2019,42615,35273,,
26/06/2019,39272,35780,,
27/06/2019,42907,36827,,
28/06/2019,43420,37230,,
29/06/2019,39851,32679,,
30/06/2019,41256,34534,,
01/07/2019,43322,36129,,
02/07/2019,42574,35474,,
03/07/2019,42366,35970,,
04/07/2019,42343,36823,,
05/07/2019,41779,37080,,
06/07/2019,40842,32618,,
07/07/2019,43181,34109,,
08/07/2019,45258,36010,,
09/07/2019,44647,35366,,
10/07/2019,44683,35813,,
11/07/2019,44413,36656,,
12/07/2019,45886,36624,,
13/07/2019,42299,32827,,
14/07/2019,43776,34272,,
15/07/2019,45164,36127,,
16/07/2019,44717,35333,,
17/07/2019,41538,35618,,
18/07/2019,43620,36406,,
19/07/2019,45700,36789,,
20/07/2019,42283,32894,,
21/07/2019,43699,34044,,
22/07/2019,44059,35706,,
23/07/2019,43625,35190,,
24/07/2019,43588,35207,,
25/07/2019,44776,35767,,
26/07/2019,45605,36242,,
27/07/2019,42233,32524,,
28/07/2019,43734,34060,,
29/07/2019,44133,35722,,
30/07/2019,43311,34831,,
31/07/2019,42319,35501,,
01/08/2019,43710,35858,,
02/08/2019,45846,36002,,
03/08/2019,39283,32828,,
04/08/2019,43291,34024,,
05/08/2019,45647,34894,,
06/08/2019,44449,34241,,
07/08/2019,44187,34239,,
08/08/2019,44480,35345,,
09/08/2019,45406,35877,,
10/08/2019,42959,32754,,
11/08/2019,44416,33889,,
12/08/2019,45618,34899,,
13/08/2019,44496,34421,,
14/08/2019,45134,35012,,
15/08/2019,45907,34858,,
16/08/2019,47432,35741,,
17/08/2019,43618,32707,,
18/08/2019,43461,34392,,
19/08/2019,46528,35514,,
20/08/2019,44642,34990,,
21/08/2019,45154,35469,,
22/08/2019,45912,36364,,
23/08/2019,46861,36620,,
24/08/2019,43094,32679,,
25/08/2019,44283,34309,,
26/08/2019,45686,35838,,
27/08/2019,45307,35382,,
28/08/2019,44069,35899,,
29/08/2019,45691,36746,,
30/08/2019,46363,37027,,
31/08/2019,42198,32841,,
01/09/2019,42012,34075,,
02/09/2019,43890,35612,,
03/09/2019,44089,35352,,
04/09/2019,43346,35772,,
05/09/2019,43733,36416,,
06/09/2019,44632,36135,,
07/09/2019,41686,31701,,
08/09/2019,43465,34020,,
09/09/2019,44483,34895,,
10/09/2019,44145,34187,,
11/09/2019,46026,35301,,
12/09/2019,46490,36389,,
13/09/2019,47057,36622,,
14/09/2019,42577,31527,,
15/09/2019,43085,33668,,
16/09/2019,45587,35258,,
17/09/2019,43665,34639,,
18/09/2019,44962,35032,,
19/09/2019,46897,35935,,
20/09/2019,47400,36341,,
21/09/2019,,30991,,
22/09/2019,,33069,,
23/09/2019,47066,34914,,
24/09/2019,45584,34060,,
25/09/2019,46967,35024,,
26/09/2019,47184,35552,,
27/09/2019,47298,35566,,
28/09/2019,44688,30764,,
29/09/2019,45352,32699,,
30/09/2019,48082,34217,,
01/10/2019,47329,32968,,
02/10/2019,47752,33754,,
03/10/2019,48261,33963,,
04/10/2019,48639,34384,,
05/10/2019,45270,29351,,
06/10/2019,45322,31736,,
07/10/2019,47240,33241,,
08/10/2019,46733,31830,,
09/10/2019,47087,32035,,
10/10/2019,43967,33637,,
11/10/2019,47909,34280,,
12/10/2019,43383,28854,,
13/10/2019,44943,31050,,
14/10/2019,48063,32731,,
15/10/2019,46005,31781,,
16/10/2019,45869,32332,,
17/10/2019,47063,33452,,
18/10/2019,49106,33855,,
19/10/2019,44593,28667,,
20/10/2019,45803,30466,,
21/10/2019,47871,32708,,
22/10/2019,46504,31499,,
23/10/2019,46946,32297,,
24/10/2019,46993,33266,,
25/10/2019,47160,33099,,
26/10/2019,44397,28452,,
27/10/2019,43927,28464,,
28/10/2019,46133,30024,,
29/10/2019,44218,28664,,
30/10/2019,45228,29259,,
31/10/2019,44053,29916,,
01/11/2019,46032,28830,,
02/11/2019,42521,24122,,
03/11/2019,43552,27724,,
04/11/2019,46346,29434,,
05/11/2019,45094,27637,,
06/11/2019,45835,27683,,
07/11/2019,46949,28048,,
08/11/2019,47760,29262,,
09/11/2019,43392,22494,,
10/11/2019,45130,26111,,
11/11/2019,45564,28108,,
12/11/2019,44775,26414,,
13/11/2019,46148,26747,,
14/11/2019,46805,28352,,
15/11/2019,46736,29565,,
16/11/2019,42134,22358,,
17/11/2019,43607,25864,,
18/11/2019,46328,28255,,
19/11/2019,44336,26264,,
20/11/2019,44318,26820,,
21/11/2019,45991,27855,,
22/11/2019,47131,29531,,
23/11/2019,42049,22059,,
24/11/2019,43782,25813,,
25/11/2019,44495,27315,,
26/11/2019,44104,25998,,
27/11/2019,46537,26541,,
28/11/2019,44884,27662,,
29/11/2019,42004,28986,,
30/11/2019,41883,22035,,
01/12/2019,43001,25482,,
02/12/2019,47834,28064,,
03/12/2019,45056,26251,,
04/12/2019,44618,27104,,
05/12/2019,45786,26791,,
06/12/2019,46419,28375,,
07/12/2019,41836,21864,,
08/12/2019,43831,25648,,
09/12/2019,45990,28134,,
10/12/2019,43801,25620,,
11/12/2019,44868,27193,,
12/12/2019,46502,27817,,
13/12/2019,43349,28692,,
15/12/2019,43596,,,
16/12/2019,46040,22605,,
17/12/2019,40589,25882,,
18/12/2019,45286,28308,,
19/12/2019,47722,26283,,
20/12/2019,48626,27823,,
21/12/2019,40883,29229,,
22/12/2019,46381,30273,,
23/12/2019,45732,25374,,
24/12/2019,41730,26455,,
25/12/2019,35789,26906,,
26/12/2019,42685,19556,,
27/12/2019,42354,14581,,
28/12/2019,43165,24086,,
29/12/2019,44857,27201,,
30/12/2019,44015,24107,,
31/12/2019,41923,25596,,
01/01/2020,40246,25837,,
02/01/2020,41455,19859,,
03/01/2020,46828,20472,,
04/01/2020,43788,26770,,
05/01/2020,45807,27377,,
06/01/2020,46329,24325,,
07/01/2020,40630,26635,,
08/01/2020,43344,27001,,
09/01/2020,45235,25051,,
10/01/2020,46333,25279,,
11/01/2020,40326,26018,,
12/01/2020,39026,27863,,
13/01/2020,44810,22079,,
14/01/2020,41636,25146,,
15/01/2020,42426,26463,,
16/01/2020,43319,23601,,
17/01/2020,45575,24865,,
18/01/2020,34450,26266,,
19/01/2020,39313,27754,,
20/01/2020,44960,21408,,
21/01/2020,39265,24922,,
22/01/2020,43575,26670,,
23/01/2020,45428,24574,,
24/01/2020,46219,24862,,
25/01/2020,37563,26562,,
26/01/2020,41600,27994,,
27/01/2020,44307,21306,,
28/01/2020,43007,24877,,
29/01/2020,42263,26679,,
30/01/2020,40104,24135,,
31/01/2020,45140,24815,,
01/02/2020,41083,26443,,
02/02/2020,41735,28096,,
03/02/2020,44556,21816,,
04/02/2020,42750,24961,,
05/02/2020,43069,26779,,
06/02/2020,43814,24348,,
07/02/2020,44695,25258,,
08/02/2020,40471,26820,,
09/02/2020,40331,27949,,
10/02/2020,43322,22332,,
11/02/2020,42051,22059,,
12/02/2020,43019,24308,,
13/02/2020,44385,24366,,
14/02/2020,43199,25795,,
15/02/2020,41566,27204,,
16/02/2020,42353,29011,,
17/02/2020,44262,23287,,
18/02/2020,42883,25156,,
