Date,Dubai Intl,Delhi Indira Gandhi,São Paulo / Guarulhos,London Heathrow,Paris Charles de Gaulle Airport ,Amsterdam Schiphol,Frankfurt am Main,Moscow Sheremetyevo,New York JFK,,DAILY_AVE,MOV_AVE_7
01/01/2019,1131,1143,,1164,981,893,,773,,,1014,
02/01/2019,1160,1170,670,1220,1115,1023,1062,870,995,,1032,
03/01/2019,1204,1145,711,1214,1130,1069,1051,959,1033,,1057,
04/01/2019,1185,1200,684,1211,1120,1059,1089,918,1011,,1053,
05/01/2019,1192,1163,689,1112,1029,948,1048,988,995,,1018,
06/01/2019,1138,1174,592,1218,1105,1023,1110,963,977,,1033,
07/01/2019,1100,1179,750,1211,1084,1003,1094,879,1068,,1041,1036
08/01/2019,1114,1179,694,1199,1036,730,1053,886,985,,986,1032
09/01/2019,1088,1185,717,1044,1001,890,1085,890,1018,,991,1026
10/01/2019,1154,1213,707,1023,994,891,1000,872,1000,,984,1015
11/01/2019,1127,1199,730,,1031,870,939,826,1049,,971,1004
12/01/2019,1150,1199,654,,851,667,977,872,962,,917,989
13/01/2019,1077,1182,607,,881,632,978,960,947,,908,971
14/01/2019,1059,1173,689,,879,723,995,962,1002,,935,956
15/01/2019,1108,1196,725,,810,601,,862,988,,899,943
16/01/2019,1064,1200,675,,816,576,969,877,970,,893,930
17/01/2019,1114,1195,717,,829,700,925,871,1022,,922,921
18/01/2019,1115,1069,722,,935,698,990,895,1029,,932,915
19/01/2019,1142,1158,657,,804,645,920,926,925,,897,912
20/01/2019,1130,1119,607,1017,965,957,1013,942,,,969,921
21/01/2019,1053,1088,685,1186,1044,974,1118,885,938,,997,930
22/01/2019,1080,,698,1129,907,869,1057,858,990,,949,937
23/01/2019,1078,1121,668,1158,1020,931,1077,861,948,,985,950
24/01/2019,1157,1126,668,1186,1048,941,1059,894,904,,998,961
25/01/2019,1133,1216,663,1196,1096,952,1088,882,1048,,1030,975
26/01/2019,1132,1091,647,1075,924,760,1023,850,988,,943,982
27/01/2019,1125,1196,619,1162,1022,966,1088,894,946,,1002,986
28/01/2019,1083,1184,684,1191,1039,1034,1140,945,1006,,1034,992
29/01/2019,1096,1182,695,1166,974,848,1070,917,963,,990,998
30/01/2019,1125,1212,712,1174,981,860,1086,914,,,1008,1001
31/01/2019,1123,1182,721,1113,1064,961,1034,939,1018,,1017,1004
01/02/2019,1124,1201,700,1129,1102,1005,1103,958,983,,1034,1004
02/02/2019,1201,1184,634,1109,934,843,1059,941,953,,984,1010
03/02/2019,1157,1174,585,1208,1018,996,1069,932,897,,1004,1010
04/02/2019,1098,1168,661,1195,1048,991,1106,928,958,,1017,1008
05/02/2019,1127,1146,675,1171,1014,870,1072,846,988,,990,1008
06/02/2019,1116,1140,690,1193,1014,892,1117,874,938,,997,1006
07/02/2019,1100,1115,686,1228,1056,996,1112,887,996,,1020,1007
08/02/2019,1148,1191,703,1227,1107,991,1147,892,996,,1045,1008
09/02/2019,1135,1135,642,1133,953,774,1064,870,973,,964,1005
10/02/2019,1159,1159,,1223,1037,957,1095,875,954,,1057,1013
11/02/2019,1048,1161,661,1221,1079,1079,1181,889,998,,1035,1015
12/02/2019,1121,1158,666,1197,1048,923,1113,852,,,1010,1018
13/02/2019,1196,1176,681,1175,1047,888,1152,819,972,,1012,1020
14/02/2019,1141,1147,704,1226,1115,999,1162,884,1057,,1048,1024
15/02/2019,1128,1153,667,1249,1135,989,1198,924,1122,,1063,1027
16/02/2019,1177,1151,662,1174,999,864,1084,918,1015,,1005,1033
17/02/2019,1134,1137,,1236,1078,989,1131,932,957,,1074,1035
18/02/2019,1097,1150,675,1243,1111,997,1186,896,1012,,1041,1036
19/02/2019,1100,1091,666,1232,1059,946,1128,866,1029,,1013,1037
20/02/2019,1133,1137,664,1198,1038,952,1157,887,,,1021,1038
21/02/2019,1155,,690,1248,1117,1012,1174,880,1075,,1044,1037
22/02/2019,1149,1127,674,1240,1127,1017,1213,887,1096,,1059,1037
23/02/2019,1177,,616,1167,1018,872,1103,937,1011,,988,1034
24/02/2019,1135,1108,560,1259,1097,987,1135,945,,,1028,1028
25/02/2019,1052,1037,621,1227,1098,985,1081,942,1017,,1007,1023
26/02/2019,1103,1146,665,1216,1074,921,1049,877,1044,,1011,1022
27/02/2019,1012,1062,681,1208,1081,915,1126,918,1064,,1007,1020
28/02/2019,1091,964,658,1222,1103,921,1107,913,1087,,1007,1015
01/03/2019,1124,891,684,1246,1137,1044,1169,934,1073,,1034,1012
02/03/2019,1166,1043,625,1157,1030,832,1062,935,,,981,1011
